sample_name,fazenda,date,planta,tratamento,bloco,ramo,no,s1_flor_gemas,s1_flor_star,s1_flor_chumb,fruto_verde,fruto_parcial,fruto_vermelho,fruto_passa,fruto_secos,rv
ffelipe_p3_t3_parc3_rEsq_n1,felipe,2026-01-20,3,t3,3,Esq,1,0,0,0,8,0,0,0,0,0
ffelipe_p1_t3_parc3_rEsq_n2,felipe,2026-01-20,1,t3,3,Esq,2,0,0,0,1,0,0,0,0,0
ffelipe_p2_t3_parc3_rEsq_n2,felipe,2026-01-20,2,t3,3,Esq,2,0,0,0,7,0,0,0,0,0
ffelipe_p3_t3_parc3_rEsq_n2,felipe,2026-01-20,3,t3,3,Esq,2,0,0,0,1,0,0,0,0,0
ffelipe_p1_t3_parc3_rEsq_n3,felipe,2026-01-20,1,t3,3,Esq,3,0,0,0,1,0,0,0,0,0
ffelipe_p2_t3_parc3_rEsq_n3,felipe,2026-01-20,2,t3,3,Esq,3,0,0,0,5,0,0,0,0,0
ffelipe_p3_t3_parc3_rEsq_n3,felipe,2026-01-20,3,t3,3,Esq,3,0,0,0,8,0,0,0,0,0
ffelipe_p1_t4_parc4_rDir_n1,felipe,2026-01-20,1,t4,4,Dir,1,0,0,0,9,0,0,0,0,0
ffelipe_p2_t4_parc4_rDir_n1,felipe,2026-01-20,2,t4,4,Dir,1,0,0,0,4,0,0,0,0,0
ffelipe_p3_t4_parc4_rDir_n1,felipe,2026-01-20,3,t4,4,Dir,1,0,0,0,9,0,0,0,0,0
ffelipe_p1_t4_parc4_rDir_n2,felipe,2026-01-20,1,t4,4,Dir,2,0,0,0,2,0,0,0,0,0
ffelipe_p2_t4_parc4_rDir_n2,felipe,2026-01-20,2,t4,4,Dir,2,0,0,2,3,0,0,0,0,0
ffelipe_p3_t4_parc4_rDir_n2,felipe,2026-01-20,3,t4,4,Dir,2,0,0,0,8,0,0,0,0,0
ffelipe_p1_t4_parc4_rDir_n3,felipe,2026-01-20,1,t4,4,Dir,3,0,0,0,11,0,0,0,0,0
ffelipe_p2_t4_parc4_rDir_n3,felipe,2026-01-20,2,t4,4,Dir,3,0,0,1,8,0,0,0,0,0
ffelipe_p3_t4_parc4_rDir_n3,felipe,2026-01-20,3,t4,4,Dir,3,0,0,0,12,0,0,0,0,0
ffelipe_p1_t4_parc4_rEsq_n1,felipe,2026-01-20,1,t4,4,Esq,1,0,0,0,1,0,0,0,0,0
ffelipe_p2_t4_parc4_rEsq_n1,felipe,2026-01-20,2,t4,4,Esq,1,0,0,1,0,0,0,0,0,0
ffelipe_p3_t4_parc4_rEsq_n1,felipe,2026-01-20,3,t4,4,Esq,1,0,0,0,4,0,0,0,0,0
ffelipe_p1_t4_parc4_rEsq_n2,felipe,2026-01-20,1,t4,4,Esq,2,0,0,0,2,0,0,0,0,0
ffelipe_p2_t4_parc4_rEsq_n2,felipe,2026-01-20,2,t4,4,Esq,2,0,0,0,8,0,0,0,0,0
ffelipe_p3_t4_parc4_rEsq_n2,felipe,2026-01-20,3,t4,4,Esq,2,0,0,0,2,0,0,0,0,0
ffelipe_p1_t4_parc4_rEsq_n3,felipe,2026-01-20,1,t4,4,Esq,3,0,0,0,9,0,0,0,0,0
ffelipe_p2_t4_parc4_rEsq_n3,felipe,2026-01-20,2,t4,4,Esq,3,0,0,0,12,0,0,0,0,0
ffelipe_p3_t4_parc4_rEsq_n3,felipe,2026-01-20,3,t4,4,Esq,3,0,0,0,2,0,0,0,0,0
ffelipe_p1_t5_parc5_rDir_n1,felipe,2026-01-20,1,t5,5,Dir,1,0,0,0,3,0,0,0,0,0
ffelipe_p2_t5_parc5_rDir_n1,felipe,2026-01-20,2,t5,5,Dir,1,0,0,0,10,0,0,0,0,0
ffelipe_p3_t5_parc5_rDir_n1,felipe,2026-01-20,3,t5,5,Dir,1,0,0,0,3,0,0,0,0,0
ffelipe_p1_t5_parc5_rDir_n2,felipe,2026-01-20,1,t5,5,Dir,2,0,0,0,1,0,0,0,0,0
ffelipe_p2_t5_parc5_rDir_n2,felipe,2026-01-20,2,t5,5,Dir,2,0,0,0,11,0,0,0,0,0
ffelipe_p3_t5_parc5_rDir_n2,felipe,2026-01-20,3,t5,5,Dir,2,0,0,0,4,0,0,0,0,0
ffelipe_p1_t5_parc5_rDir_n3,felipe,2026-01-20,1,t5,5,Dir,3,0,0,0,1,0,0,0,0,0
ffelipe_p2_t5_parc5_rDir_n3,felipe,2026-01-20,2,t5,5,Dir,3,0,0,0,6,0,0,0,0,0
ffelipe_p3_t5_parc5_rDir_n3,felipe,2026-01-20,3,t5,5,Dir,3,0,0,0,4,0,0,0,5,0
ffelipe_p1_t5_parc5_rEsq_n1,felipe,2026-01-20,1,t5,5,Esq,1,0,0,0,2,0,0,0,0,0
ffelipe_p2_t5_parc5_rEsq_n1,felipe,2026-01-20,2,t5,5,Esq,1,0,0,5,0,0,0,0,0,0
ffelipe_p3_t5_parc5_rEsq_n1,felipe,2026-01-20,3,t5,5,Esq,1,0,0,0,3,0,0,0,0,0
ffelipe_p1_t5_parc5_rEsq_n2,felipe,2026-01-20,1,t5,5,Esq,2,0,0,0,4,0,0,0,0,0
ffelipe_p2_t5_parc5_rEsq_n2,felipe,2026-01-20,2,t5,5,Esq,2,0,0,0,6,0,0,0,0,0
ffelipe_p1_t5_parc5_rEsq_n3,felipe,2026-01-20,1,t5,5,Esq,3,0,0,0,5,0,0,0,0,0
ffelipe_p2_t5_parc5_rEsq_n3,felipe,2026-01-20,2,t5,5,Esq,3,0,0,0,4,0,0,0,0,0
ffelipe_p3_t5_parc5_rEsq_n3,felipe,2026-01-20,3,t5,5,Esq,3,0,0,0,7,0,0,0,1,0
ffelipe_p1_t6_parc6_rDir_n1,felipe,2026-01-20,1,t6,6,Dir,1,0,0,0,9,0,0,0,0,0
ffelipe_p2_t6_parc6_rDir_n1,felipe,2026-01-20,2,t6,6,Dir,1,0,0,0,7,0,0,0,0,0
ffelipe_p3_t6_parc6_rDir_n1,felipe,2026-01-20,3,t6,6,Dir,1,0,0,0,11,0,0,0,0,0
ffelipe_p1_t6_parc6_rDir_n2,felipe,2026-01-20,1,t6,6,Dir,2,0,0,0,10,0,0,0,0,0
ffelipe_p2_t6_parc6_rDir_n2,felipe,2026-01-20,2,t6,6,Dir,2,0,0,0,8,0,0,0,0,0
ffelipe_p3_t6_parc6_rDir_n2,felipe,2026-01-20,3,t6,6,Dir,2,0,0,0,13,0,0,0,0,0
ffelipe_p1_t6_parc6_rDir_n3,felipe,2026-01-20,1,t6,6,Dir,3,0,0,0,8,0,0,0,0,0
ffelipe_p2_t6_parc6_rDir_n3,felipe,2026-01-20,2,t6,6,Dir,3,0,0,0,10,0,0,0,0,0
ffelipe_p3_t6_parc6_rDir_n3,felipe,2026-01-20,3,t6,6,Dir,3,0,0,0,14,0,0,0,1,0
ffelipe_p1_t6_parc6_rEsq_n1,felipe,2026-01-20,1,t6,6,Esq,1,0,0,0,13,0,0,0,0,0
ffelipe_p2_t6_parc6_rEsq_n1,felipe,2026-01-20,2,t6,6,Esq,1,0,0,0,2,0,0,0,0,0
ffelipe_p3_t6_parc6_rEsq_n1,felipe,2026-01-20,3,t6,6,Esq,1,0,0,0,8,0,0,0,0,0
ffelipe_p1_t6_parc6_rEsq_n2,felipe,2026-01-20,1,t6,6,Esq,2,0,0,0,10,0,0,0,0,0
ffelipe_p2_t6_parc6_rEsq_n2,felipe,2026-01-20,2,t6,6,Esq,2,0,0,0,3,0,0,0,0,0
ffelipe_p3_t6_parc6_rEsq_n2,felipe,2026-01-20,3,t6,6,Esq,2,0,0,0,8,0,0,0,0,0
ffelipe_p1_t6_parc6_rEsq_n3,felipe,2026-01-20,1,t6,6,Esq,3,0,0,0,12,0,0,0,0,0
ffelipe_p2_t6_parc6_rEsq_n3,felipe,2026-01-20,2,t6,6,Esq,3,0,0,0,3,0,0,0,0,0
ffelipe_p3_t6_parc6_rEsq_n3,felipe,2026-01-20,3,t6,6,Esq,3,0,0,0,9,0,0,0,1,0
ffelipe_p1_t1_parc7_rDir_n1,felipe,2026-01-20,1,t1,7,Dir,1,0,0,0,6,0,0,0,0,0
ffelipe_p2_t1_parc7_rDir_n1,felipe,2026-01-20,2,t1,7,Dir,1,0,0,0,10,0,0,0,0,0
ffelipe_p3_t1_parc7_rDir_n1,felipe,2026-01-20,3,t1,7,Dir,1,0,0,0,12,0,0,0,0,0
ffelipe_p1_t1_parc7_rDir_n2,felipe,2026-01-20,1,t1,7,Dir,2,0,0,0,15,0,0,0,0,0
ffelipe_p2_t1_parc7_rDir_n2,felipe,2026-01-20,2,t1,7,Dir,2,0,0,0,6,0,0,0,0,0
ffelipe_p3_t1_parc7_rDir_n2,felipe,2026-01-20,3,t1,7,Dir,2,0,0,0,9,0,0,0,2,0
ffelipe_p1_t1_parc7_rDir_n3,felipe,2026-01-20,1,t1,7,Dir,3,0,0,0,16,0,0,0,0,0
ffelipe_p2_t1_parc7_rDir_n3,felipe,2026-01-20,2,t1,7,Dir,3,0,0,0,7,0,0,0,6,0
ffelipe_p3_t1_parc7_rDir_n3,felipe,2026-01-20,3,t1,7,Dir,3,0,0,0,5,0,0,0,0,0
ffelipe_p1_t1_parc7_rEsq_n1,felipe,2026-01-20,1,t1,7,Esq,1,0,0,0,5,0,0,0,0,0
ffelipe_p3_t1_parc7_rEsq_n1,felipe,2026-01-20,3,t1,7,Esq,1,0,0,0,6,0,0,0,0,0
ffelipe_p1_t1_parc7_rEsq_n2,felipe,2026-01-20,1,t1,7,Esq,2,0,0,0,5,0,0,0,0,0
ffelipe_p2_t1_parc7_rEsq_n2,felipe,2026-01-20,2,t1,7,Esq,2,0,0,0,5,0,0,0,0,0
ffelipe_p3_t1_parc7_rEsq_n2,felipe,2026-01-20,3,t1,7,Esq,2,0,0,0,11,0,0,0,0,0
ffelipe_p1_t1_parc7_rEsq_n3,felipe,2026-01-20,1,t1,7,Esq,3,0,0,0,5,0,0,0,3,0
ffelipe_p3_t1_parc7_rEsq_n3,felipe,2026-01-20,3,t1,7,Esq,3,0,0,0,11,0,0,0,0,0
ffelipe_p1_t2_parc8_rDir_n1,felipe,2026-01-20,1,t2,8,Dir,1,0,0,0,12,0,0,0,0,0
ffelipe_p2_t2_parc8_rDir_n1,felipe,2026-01-20,2,t2,8,Dir,1,0,0,0,3,0,0,0,0,0
ffelipe_p3_t2_parc8_rDir_n1,felipe,2026-01-20,3,t2,8,Dir,1,0,0,0,14,0,0,0,0,0
ffelipe_p1_t2_parc8_rDir_n2,felipe,2026-01-20,1,t2,8,Dir,2,0,0,0,7,0,0,0,0,0
ffelipe_p2_t2_parc8_rDir_n2,felipe,2026-01-20,2,t2,8,Dir,2,0,0,0,11,0,0,0,0,0
