sample_name,fazenda,date,planta,tratamento,bloco,ramo,no,s1_flor_gemas,s1_flor_star,s1_flor_chumb,fruto_verde,fruto_parcial,fruto_vermelho,fruto_passa,fruto_secos,rv
fvicente_p1_t3_parc3_rEsq_n2,vicente,2026-01-13,1,t3,3,Esq,2,0,0,0,12,0,0,0,0,0
fvicente_p2_t3_parc3_rEsq_n2,vicente,2026-01-13,2,t3,3,Esq,2,0,0,0,8,0,0,0,0,0
fvicente_p3_t3_parc3_rEsq_n2,vicente,2026-01-13,3,t3,3,Esq,2,0,0,7,6,0,0,0,0,0
fvicente_p1_t3_parc3_rEsq_n3,vicente,2026-01-13,1,t3,3,Esq,3,0,0,0,25,0,0,0,0,0
fvicente_p2_t3_parc3_rEsq_n3,vicente,2026-01-13,2,t3,3,Esq,3,0,0,7,3,0,0,0,0,0
fvicente_p3_t3_parc3_rEsq_n3,vicente,2026-01-13,3,t3,3,Esq,3,0,0,6,9,0,0,0,0,0
fvicente_p1_t4_parc4_rDir_n1,vicente,2026-01-13,1,t4,4,Dir,1,0,0,7,0,0,0,0,0,0
fvicente_p2_t4_parc4_rDir_n1,vicente,2026-01-13,2,t4,4,Dir,1,0,0,7,4,0,0,0,0,0
fvicente_p3_t4_parc4_rDir_n1,vicente,2026-01-13,3,t4,4,Dir,1,0,0,24,0,0,0,0,0,0
fvicente_p2_t4_parc4_rDir_n2,vicente,2026-01-13,2,t4,4,Dir,2,0,0,6,5,0,0,0,0,0
fvicente_p3_t4_parc4_rDir_n2,vicente,2026-01-13,3,t4,4,Dir,2,0,0,0,10,0,0,0,0,0
fvicente_p1_t4_parc4_rDir_n3,vicente,2026-01-13,1,t4,4,Dir,3,0,0,0,5,0,0,0,0,0
fvicente_p2_t4_parc4_rDir_n3,vicente,2026-01-13,2,t4,4,Dir,3,0,0,5,5,0,0,0,0,0
fvicente_p3_t4_parc4_rDir_n3,vicente,2026-01-13,3,t4,4,Dir,3,0,0,4,8,0,0,0,0,0
fvicente_p1_t4_parc4_rEsq_n1,vicente,2026-01-13,1,t4,4,Esq,1,0,0,18,0,0,0,0,0,0
fvicente_p2_t4_parc4_rEsq_n1,vicente,2026-01-13,2,t4,4,Esq,1,0,0,4,8,0,0,0,0,0
fvicente_p3_t4_parc4_rEsq_n1,vicente,2026-01-13,3,t4,4,Esq,1,0,0,18,0,0,0,0,0,0
fvicente_p1_t4_parc4_rEsq_n2,vicente,2026-01-13,1,t4,4,Esq,2,0,0,14,0,0,0,0,0,0
fvicente_p2_t4_parc4_rEsq_n2,vicente,2026-01-13,2,t4,4,Esq,2,0,0,1,4,0,0,0,0,0
fvicente_p3_t4_parc4_rEsq_n2,vicente,2026-01-13,3,t4,4,Esq,2,0,0,6,0,0,0,0,0,0
fvicente_p1_t4_parc4_rEsq_n3,vicente,2026-01-13,1,t4,4,Esq,3,0,0,5,0,0,0,0,0,0
fvicente_p2_t4_parc4_rEsq_n3,vicente,2026-01-13,2,t4,4,Esq,3,0,0,0,18,0,0,0,0,0
fvicente_p3_t4_parc4_rEsq_n3,vicente,2026-01-13,3,t4,4,Esq,3,0,0,6,7,0,0,0,0,0
fvicente_p1_t5_parc5_rDir_n1,vicente,2026-01-13,1,t5,5,Dir,1,0,0,0,9,0,0,0,0,0
fvicente_p2_t5_parc5_rDir_n1,vicente,2026-01-13,2,t5,5,Dir,1,0,0,0,31,0,0,0,0,0
fvicente_p3_t5_parc5_rDir_n1,vicente,2026-01-13,3,t5,5,Dir,1,0,0,7,14,0,0,0,0,0
fvicente_p1_t5_parc5_rDir_n2,vicente,2026-01-13,1,t5,5,Dir,2,0,0,0,17,0,0,0,0,0
fvicente_p2_t5_parc5_rDir_n2,vicente,2026-01-13,2,t5,5,Dir,2,0,0,0,6,0,0,0,0,0
fvicente_p3_t5_parc5_rDir_n2,vicente,2026-01-13,3,t5,5,Dir,2,0,0,0,7,0,0,0,0,0
fvicente_p1_t5_parc5_rDir_n3,vicente,2026-01-13,1,t5,5,Dir,3,0,0,3,7,0,0,0,0,0
fvicente_p2_t5_parc5_rDir_n3,vicente,2026-01-13,2,t5,5,Dir,3,0,0,0,12,0,0,0,0,0
fvicente_p3_t5_parc5_rDir_n3,vicente,2026-01-13,3,t5,5,Dir,3,0,0,4,2,0,0,0,0,0
fvicente_p1_t5_parc5_rEsq_n1,vicente,2026-01-13,1,t5,5,Esq,1,0,0,22,8,0,0,0,0,0
fvicente_p2_t5_parc5_rEsq_n1,vicente,2026-01-13,2,t5,5,Esq,1,0,0,7,0,0,0,0,0,0
fvicente_p3_t5_parc5_rEsq_n1,vicente,2026-01-13,3,t5,5,Esq,1,0,0,3,6,0,0,0,0,0
fvicente_p1_t5_parc5_rEsq_n2,vicente,2026-01-13,1,t5,5,Esq,2,0,0,0,26,0,0,0,0,0
fvicente_p2_t5_parc5_rEsq_n2,vicente,2026-01-13,2,t5,5,Esq,2,0,0,1,10,0,0,0,0,0
fvicente_p3_t5_parc5_rEsq_n2,vicente,2026-01-13,3,t5,5,Esq,2,0,0,0,22,0,0,0,0,0
fvicente_p1_t5_parc5_rEsq_n3,vicente,2026-01-13,1,t5,5,Esq,3,0,0,0,8,0,0,0,0,0
fvicente_p2_t5_parc5_rEsq_n3,vicente,2026-01-13,2,t5,5,Esq,3,0,0,13,5,0,0,0,0,0
fvicente_p3_t5_parc5_rEsq_n3,vicente,2026-01-13,3,t5,5,Esq,3,0,0,5,6,0,0,0,0,0
